"index"	"accession"	"genome"	"assay_target_class"	"assay_target"	"biosample_type_class"	"biosample_type"	"treatment"	"mutation"	"strain"	"test_auc_roc"	"test_auc_prc"
159	"SRX1098143"	"mm9"	"Histone"	"H3K4me2"	"Pancreas"	"Beta-TC-6"	"None"	"None"	"B6.D2-Tg(RIP1-Tag)2Dh/Nci"	0.978	0.4605
160	"SRX1114541"	"mm9"	"TFs and others"	"Brd4"	"Blood"	"Leukemia"	"None"	"Tg(MLL-AF9), Nras<G12D>"	"C57BL/6"	0.9864	0.6145
161	"SRX1115327"	"mm9"	"TFs and others"	"Gata3"	"Blood"	"ILC2 cells"	"IL25"	"Rag1 -/-"	"C57BL/6"	0.8891	0.0108
162	"SRX1115742"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9967	0.7907
163	"SRX1115744"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9956	0.7994
164	"SRX1115745"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9968	0.7946
165	"SRX1115752"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9905	0.6845
166	"SRX1115754"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9913	0.7099
167	"SRX1115755"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9838	0.6547
168	"SRX1116367"	"mm9"	"Histone"	"H3"	"Blood"	"Myeloid leukemia"	"None"	"None"	"129S6/SvEvTac"	0.9958	0.7831
169	"SRX1116368"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"Myeloid leukemia"	"None"	"None"	"129S6/SvEvTac"	0.9972	0.7931
170	"SRX1121025"	"mm9"	"TFs and others"	"Tbr1"	"Embryo"	"Embryonic brains"	"None"	"None"	"CD-1"	0.9316	0.0227
171	"SRX1121695"	"mm9"	"Histone"	"H3K4me2"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9731	0.5328
172	"SRX1121696"	"mm9"	"Histone"	"H3K4me2"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9926	0.3813
173	"SRX1121697"	"mm9"	"Histone"	"H3K4me2"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9936	0.4098
174	"SRX1121698"	"mm9"	"Histone"	"H3K4me2"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9934	0.4707
175	"SRX1121699"	"mm9"	"Histone"	"H3K4me2"	"Cardiovascular"	"Cardiomyocytes"	"None"	"None"	"C57BL/6"	0.9782	0.4918
176	"SRX1122769"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9836	0.5598
177	"SRX1122771"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9956	0.7607
178	"SRX1122773"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"B cells"	"None"	"Tg(Igh-Lmp2a)ERlon"	"C57BL/6"	0.9849	0.5488
179	"SRX1122775"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"B cells"	"None"	"Tg(Igh-Lmp2a)ERlon"	"C57BL/6"	0.9966	0.7564
180	"SRX1123921"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"129/Sv x C57BL/6J"	0.9709	0.3273
181	"SRX1123923"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"129/Sv x C57BL/6J"	0.9774	0.4859
182	"SRX1123924"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"Smarcb1 -/-"	"129/Sv x C57BL/6J"	0.9802	0.6232
183	"SRX1123925"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"Smarca4 -/-"	"129/Sv x C57BL/6J"	0.9906	0.5989
184	"SRX1123929"	"mm9"	"TFs and others"	"Smarcc1"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"129/Sv x C57BL/6J"	0.9763	0.205
185	"SRX1123930"	"mm9"	"TFs and others"	"Smarca4"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"129/Sv x C57BL/6J"	0.97	0.1149
186	"SRX1123934"	"mm9"	"Histone"	"H3K4me3"	"Embryonic fibroblast"	"MEF"	"None"	"Smarcb1 -/-"	"129/Sv x C57BL/6J"	0.9962	0.6893
187	"SRX112509"	"mm9"	"Histone"	"H3K4me2"	"Digestive tract"	"Intestinal villus"	"None"	"None"	"(129 x C57BL/6)F1"	0.9606	0.3948
188	"SRX112511"	"mm9"	"Histone"	"H3K4me2"	"Digestive tract"	"Intestinal villus"	"None"	"None"	"(129 x C57BL/6)F1"	0.9655	0.4414
189	"SRX112531"	"mm9"	"TFs and others"	"Dmc1"	"Gonad"	"Testis"	"None"	"Psmc3ip -/-"	"(B10.S-H2<t4>(9R) x B10.F-H2<pb1>(13R))F1"	0.6686	0.0045
190	"SRX112533"	"mm9"	"TFs and others"	"Rad51"	"Gonad"	"Testis"	"None"	"Psmc3ip -/-"	"(B10.F-H2<pb1>(13R) x B10.S-H2<t4>(9R))F1"	0.8528	0.0313
191	"SRX112920"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9876	0.5667
192	"SRX112923"	"mm9"	"Histone"	"H3K27ac"	"Cardiovascular"	"Heart"	"None"	"None"	"C57BL/6"	0.9687	0.4023
193	"SRX112925"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9734	0.4444
194	"SRX112929"	"mm9"	"Histone"	"H3K27ac"	"Spleen"	"Spleen"	"None"	"None"	"C57BL/6"	0.9865	0.4909
195	"SRX112934"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic brains"	"None"	"None"	"C57BL/6"	0.9876	0.5115
196	"SRX112940"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic heart"	"None"	"None"	"C57BL/6"	0.973	0.4137
197	"SRX112950"	"mm9"	"Histone"	"H3K4me3"	"Embryo"	"Embryonic liver"	"None"	"None"	"C57BL/6"	0.9940000000000001	0.8026
198	"SRX112952"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic liver"	"None"	"None"	"C57BL/6"	0.9554	0.41200000000000003
199	"SRX112956"	"mm9"	"Histone"	"H3K4me3"	"Digestive tract"	"Intestines"	"None"	"None"	"C57BL/6"	0.9943	0.8145
200	"SRX112957"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Digestive tract"	"Intestines"	"None"	"None"	"C57BL/6"	0.9940000000000001	0.6575
201	"SRX112958"	"mm9"	"Histone"	"H3K27ac"	"Digestive tract"	"Intestines"	"None"	"None"	"C57BL/6"	0.973	0.4053
202	"SRX112970"	"mm9"	"Histone"	"H3K27ac"	"Placenta"	"Placenta"	"None"	"None"	"C57BL/6"	0.9616	0.3504
203	"SRX112974"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"None"	"None"	"C57BL/6"	0.9581	0.6228
204	"SRX1131938"	"mm9"	"TFs and others"	"Prdm1"	"Blood"	"Plasmablasts"	"None"	"None"	"C57BL/6"	0.9338	0.0513
205	"SRX1131940"	"mm9"	"TFs and others"	"Spi1"	"Blood"	"Plasmablasts"	"None"	"None"	"C57BL/6"	0.9745	0.3779
206	"SRX1131941"	"mm9"	"TFs and others"	"Irf4"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9249	0.0538
207	"SRX1131942"	"mm9"	"TFs and others"	"Irf4"	"Blood"	"Plasmablasts"	"None"	"None"	"C57BL/6"	0.976	0.4496
208	"SRX1131943"	"mm9"	"TFs and others"	"Irf4"	"Blood"	"Plasmablasts"	"None"	"None"	"C57BL/6"	0.9698	0.2802
209	"SRX1131951"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9711	0.5974
210	"SRX1131952"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"Plasmablasts"	"None"	"None"	"C57BL/6"	0.9714	0.613
211	"SRX1131953"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9918	0.7861
212	"SRX1131954"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Plasmablasts"	"None"	"None"	"C57BL/6"	0.9896	0.7637
213	"SRX1131955"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9887	0.7021
214	"SRX1131956"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"Plasmablasts"	"None"	"None"	"C57BL/6"	0.9863	0.6847
215	"SRX1141346"	"mm9"	"TFs and others"	"Nanog"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"MF1"	0.9598	0.2147
216	"SRX1141348"	"mm9"	"TFs and others"	"Nanog"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"MF1"	0.8957	0.1199
217	"SRX1141349"	"mm9"	"TFs and others"	"Nanog"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"MF1"	0.8984	0.1084
218	"SRX1141350"	"mm9"	"TFs and others"	"Nanog"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"MF1"	0.8965	0.1256
219	"SRX1141351"	"mm9"	"TFs and others"	"Nanog"	"Pluripotent stem cell"	"EpiLC"	"None"	"None"	"MF1"	0.9011	0.1072
220	"SRX1143904"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Pro-B cells"	"None"	"None"	"C57BL/6JNimr"	0.9935	0.7763
221	"SRX1143910"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Pro-B cells"	"None"	"None"	"C57BL/6JNimr"	0.9976	0.5498
222	"SRX1143911"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Pro-B cells"	"None"	"None"	"C57BL/6JNimr"	0.9974	0.7341
223	"SRX1143917"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Pro-B cells"	"None"	"None"	"C57BL/6JNimr"	0.9965	0.774
224	"SRX1143926"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"B cells"	"None"	"None"	"C57BL/6JNimr"	0.9921	0.7573
225	"SRX1143933"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"B cells"	"None"	"None"	"C57BL/6JNimr"	0.9989	0.725
226	"SRX1143957"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"B cells"	"None"	"None"	"C57BL/6JNimr"	0.9908	0.7240000000000001
227	"SRX1143958"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"B cells"	"None"	"None"	"C57BL/6JNimr"	0.9919	0.7256
228	"SRX1143959"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"B cells"	"None"	"None"	"C57BL/6JNimr"	0.9912	0.7247
229	"SRX114723"	"mm9"	"TFs and others"	"Pgr"	"Uterus"	"Uterus"	"None"	"None"	"C57BL/6"	0.9579	0.1658
230	"SRX114724"	"mm9"	"TFs and others"	"Pgr"	"Uterus"	"Uterus"	"Progesterone"	"None"	"C57BL/6"	0.9233	0.1122
231	"SRX1149716"	"mm9"	"TFs and others"	"Klf5"	"Pancreas"	"Pancreatic cancer cell lines"	"None"	"Smad4 fl/fl, Cdkn2a fl/fl, Tg(Pdx1-cre), Kras<tm4Tyj>"	"FVB"	0.976	0.2046
232	"SRX1150364"	"mm9"	"TFs and others"	"Cebpa"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9898	0.1815
233	"SRX1150365"	"mm9"	"TFs and others"	"Cebpa"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9907	0.1636
234	"SRX1150366"	"mm9"	"TFs and others"	"Cebpa"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9835	0.2234
235	"SRX1150367"	"mm9"	"TFs and others"	"Cebpa"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9827	0.2056
236	"SRX1150368"	"mm9"	"TFs and others"	"Cebpa"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9761	0.2466
237	"SRX1150369"	"mm9"	"TFs and others"	"Cebpa"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9831	0.1882
238	"SRX1150370"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9675	0.3498
239	"SRX1150371"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9691	0.3553
240	"SRX1150372"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9683	0.3384
241	"SRX1150376"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9708	0.3593
242	"SRX1150378"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9685	0.3354
243	"SRX115150"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.991	0.8046
244	"SRX115151"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.9919	0.8147
245	"SRX1155616"	"mm9"	"TFs and others"	"Myt1l"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9886	0.0252
246	"SRX116258"	"mm9"	"TFs and others"	"Ctcf"	"Neural"	"Brain"	"None"	"None"	"(C57BL/6J x CAST/EiJ)F1"	0.9926	0.6368
247	"SRX116259"	"mm9"	"TFs and others"	"Ctcf"	"Neural"	"Brain"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9944	0.684
248	"SRX116260"	"mm9"	"TFs and others"	"Rad21"	"Neural"	"Brain"	"None"	"None"	"(C57BL/6J x CAST/EiJ)F1"	0.985	0.431
249	"SRX116261"	"mm9"	"TFs and others"	"Rad21"	"Neural"	"Brain"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9891	0.4776
250	"SRX1162722"	"mm9"	"Histone"	"H3K27me3"	"Embryo"	"Embryonic liver"	"None"	"Mtf2 -/-"	"C57BL/6"	0.9697	0.0037
251	"SRX1162726"	"mm9"	"TFs and others"	"Mtf2"	"Embryo"	"Embryonic liver"	"None"	"None"	"C57BL/6"	0.9416	0.0066
252	"SRX1163236"	"mm9"	"TFs and others"	"Smad2"	"Pancreas"	"Pancreatic cancer cell lines"	"None"	"Smad4 fl/fl, Cdkn2a fl/fl, Tg(Pdx1-cre), Kras<tm4Tyj>"	"FVB"	0.9702	0.1948
253	"SRX1163237"	"mm9"	"TFs and others"	"Smad2"	"Pancreas"	"Pancreatic cancer cell lines"	"None"	"Smad4 fl/fl, Cdkn2a fl/fl, Tg(Pdx1-cre), Kras<tm4Tyj>"	"FVB"	0.9774	0.1179
254	"SRX1164991"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"129/Sv x C57BL/6J"	0.9969	0.4407
255	"SRX1167266"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"HAFTL"	"None"	"None"	"NFS/N"	0.9608	0.5181
256	"SRX1167271"	"mm9"	"Histone"	"H3K4me2"	"Blood"	"HAFTL"	"None"	"None"	"NFS/N"	0.9623	0.5244
257	"SRX1175147"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic testis"	"None"	"None"	"(CD-1 x C57BL/6)F1"	0.9976	0.7397
258	"SRX1176720"	"mm9"	"TFs and others"	"Cdc73"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9963	0.6415
259	"SRX1176722"	"mm9"	"TFs and others"	"Cdc73"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9917	0.409
260	"SRX1176753"	"mm9"	"Histone"	"H3K4me3"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9831	0.6835
261	"SRX1176756"	"mm9"	"Histone"	"H3K4me3"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9787	0.6621
262	"SRX1176767"	"mm9"	"Histone"	"H3K4me3"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.9834	0.6919
263	"SRX1176770"	"mm9"	"Histone"	"H3K4me3"	"Muscle"	"C2C12"	"None"	"None"	"C3H"	0.981	0.6692
264	"SRX1177007"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9811	0.563
265	"SRX1177008"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9734	0.4815
266	"SRX1177009"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9916	0.6163
267	"SRX1177010"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Pluripotent stem cell"	"Embryonic stem cells (v6.5 cell line)"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.988	0.526
268	"SRX1179561"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"Leukemia"	"None"	"Gfi1 +/-"	"C57BL/6-Tg(Vav1-NUP98/HOXD13)G2Apla"	0.9926	0.7275
269	"SRX1179563"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"Leukemia"	"None"	"Gfi1 +/-"	"C57BL/6-Tg(Vav1-NUP98/HOXD13)G2Apla"	0.9934	0.7283
270	"SRX1179565"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"Leukemia"	"None"	"Gfi1 -/-"	"C57BL/6-Tg(Vav1-NUP98/HOXD13)G2Apla"	0.9937	0.7477
271	"SRX1179567"	"mm9"	"Histone"	"H3K9ac"	"Blood"	"Leukemia"	"None"	"Gfi1 -/-"	"C57BL/6-Tg(Vav1-NUP98/HOXD13)G2Apla"	0.9913	0.7002
272	"SRX118391"	"mm9"	"TFs and others"	"Dmc1"	"Gonad"	"Testis"	"None"	"None"	"B6;129P2-Prdm9<tm1Ymat>/J"	0.9886	0.6009
273	"SRX118394"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"None"	"Psmc3ip -/-"	"B10.F-H2<pb1>/(13R)J"	0.9232	0.644
274	"SRX118395"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"None"	"Psmc3ip -/-"	"B10.S-H2<t4>/(9R)/J"	0.9635	0.7188
275	"SRX118398"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"None"	"Spo11 -/-"	"129S6/SvEvTac x C57BL/6J"	0.9468	0.7140000000000001
276	"SRX1184109"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"C57BL/6"	0.972	0.47100000000000003
277	"SRX1184112"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"B cells"	"None"	"None"	"C57BL/6"	0.9811	0.5434
278	"SRX1184113"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Pro-B cells"	"None"	"None"	"C57BL/6"	0.9738	0.5183
279	"SRX1184114"	"mm9"	"Histone"	"H3K4me1"	"Blood"	"Pro-B cells"	"None"	"None"	"C57BL/6"	0.948	0.193
280	"SRX1184163"	"mm9"	"Histone"	"H3K27ac"	"Breast"	"Mammary glands"	"None"	"None"	"C57BL/6"	0.9535	0.4542
281	"SRX1184165"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Breast"	"Mammary glands"	"None"	"None"	"C57BL/6"	0.9798	0.3658
282	"SRX119352"	"mm9"	"TFs and others"	"Atf4"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9413	0.046
283	"SRX119591"	"mm9"	"Chromatin"	"DNase-seq"	"Embryonic fibroblast"	"3T3-L1"	"None"	"None"	"Swiss albino"	0.9448	0.3257
284	"SRX119592"	"mm9"	"Chromatin"	"DNase-seq"	"Embryonic fibroblast"	"3T3-L1"	"TNF"	"None"	"Swiss albino"	0.9590000000000001	0.3667
285	"SRX119652"	"mm9"	"RNA polymerase"	"Polr2b"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9868	0.42
286	"SRX119653"	"mm9"	"RNA polymerase"	"Polr2b"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9813	0.4882
287	"SRX119654"	"mm9"	"RNA polymerase"	"Polr2b"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9864	0.5387
288	"SRX119657"	"mm9"	"RNA polymerase"	"Polr2b"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9859	0.5742
289	"SRX119661"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9919	0.7801
290	"SRX119662"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9912	0.772
291	"SRX120060"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic limb"	"None"	"None"	"C57BL/6J"	0.9907	0.5664
292	"SRX120062"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic limb"	"None"	"None"	"C57BL/6J"	0.9873	0.5624
293	"SRX120168"	"mm9"	"TFs and others"	"Smc1a"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"129/Sv x C57BL/6J"	0.9975	0.4996
294	"SRX120171"	"mm9"	"TFs and others"	"Smc3"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"129/Sv x C57BL/6J"	0.9969	0.3764
295	"SRX120172"	"mm9"	"TFs and others"	"Smc3"	"Embryonic fibroblast"	"MEF"	"None"	"Stag1 -/-"	"129/Sv x C57BL/6J"	0.9944	0.5760000000000001
296	"SRX1205896"	"mm9"	"TFs and others"	"Mta2"	"Blood"	"CD4- CD8- T cells"	"None"	"None"	"C57BL/6"	0.9771	0.4979
297	"SRX1218982"	"mm9"	"Histone"	"H3K4me2"	"Embryo"	"Embryonic brains"	"None"	"None"	"CD-1"	0.9985	0.6005
298	"SRX1218984"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic brains"	"None"	"None"	"CD-1"	0.9954	0.7435
299	"SRX1218986"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Embryo"	"Embryonic brains"	"None"	"None"	"CD-1"	0.9867	0.6246
300	"SRX1218991"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9874	0.5508
301	"SRX1218994"	"mm9"	"Histone"	"H2BK20ac"	"Neural"	"BV-2"	"None"	"None"	"C57BL/6"	0.9748	0.1468
302	"SRX1218996"	"mm9"	"Histone"	"H2BK20ac"	"Neural"	"BV-2"	"None"	"None"	"C57BL/6"	0.9697	0.08800000000000001
303	"SRX1218997"	"mm9"	"Histone"	"H3K27ac"	"Neural"	"BV-2"	"None"	"None"	"C57BL/6"	0.9768	0.3959
304	"SRX1218998"	"mm9"	"Histone"	"H2BK20ac"	"Neural"	"BV-2"	"None"	"None"	"C57BL/6"	0.9624	0.1865
305	"SRX1219931"	"mm9"	"Histone"	"H3R17me2"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9990000000000001	0.4296
306	"SRX1225080"	"mm9"	"TFs and others"	"Tfap2a"	"Epidermis"	"Melanocytes (Melan-a cell line)"	"None"	"Cdkn2a<tm1Rdp>"	"C57BL/6"	0.9462	0.1183
307	"SRX1225081"	"mm9"	"TFs and others"	"Tfap2a"	"Epidermis"	"Melanocytes (Melan-a cell line)"	"None"	"Cdkn2a<tm1Rdp>"	"C57BL/6"	0.9405	0.131
308	"SRX1241153"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Regulatory T cells"	"None"	"None"	"C57BL/6J"	0.9984	0.5535
309	"SRX1251478"	"mm9"	"Histone"	"H3K36me2"	"Blood"	"Leukemia (RN2 cell line)"	"None"	"Tg(MLL-AF9), Nras<G12D>"	"C57BL/6"	0.9614	0.2728
310	"SRX1254999"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"C57BL/6"	0.9933	0.7029
311	"SRX1255000"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Hematopoietic stem cells"	"None"	"None"	"C57BL/6"	0.9921	0.6775
312	"SRX1255001"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Dendritic cell progenitor"	"None"	"None"	"C57BL/6"	0.9928	0.6933
313	"SRX1255002"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Dendritic cell progenitor"	"None"	"None"	"C57BL/6"	0.9942	0.6936
314	"SRX1255003"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Dendritic cells"	"None"	"None"	"C57BL/6"	0.9919	0.6940000000000001
315	"SRX1255004"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Dendritic cells"	"None"	"None"	"C57BL/6"	0.9903	0.6711
316	"SRX1255005"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Dendritic cells"	"None"	"None"	"C57BL/6"	0.9825	0.5907
317	"SRX1255006"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Dendritic cells"	"None"	"None"	"C57BL/6"	0.9777	0.5697
318	"SRX1261300"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"C57BL/6J"	0.9912	0.5805
319	"SRX1261301"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"C57BL/6J"	0.9914	0.5391
320	"SRX127388"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"iPS cells"	"None"	"None"	"B6;129S4-Gt(ROSA)26Sor<tm1(rtTA*M2)Jae>/Mmmh"	0.9963	0.7025
321	"SRX127389"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"iPS cells"	"None"	"None"	"B6;129S4-Gt(ROSA)26Sor<tm1(rtTA*M2)Jae>/Mmmh"	0.9932	0.7678
322	"SRX127394"	"mm9"	"Histone"	"H3K4me3"	"Adipocyte"	"Adipose progenitor cells"	"None"	"None"	"B6;129S4-Gt(ROSA)26Sor<tm1(rtTA*M2)Jae>/Mmmh"	0.9927	0.7224
323	"SRX127397"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129"	0.9823	0.5289
324	"SRX127398"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"iPS cells"	"None"	"None"	"B6;129S4-Gt(ROSA)26Sor<tm1(rtTA*M2)Jae>/Mmmh"	0.9844	0.5411
325	"SRX127399"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"iPS cells"	"None"	"None"	"B6;129S4-Gt(ROSA)26Sor<tm1(rtTA*M2)Jae>/Mmmh"	0.9826	0.5261
326	"SRX127401"	"mm9"	"Histone"	"H3K4me2"	"Pluripotent stem cell"	"iPS cells"	"None"	"None"	"B6;129S4-Gt(ROSA)26Sor<tm1(rtTA*M2)Jae>/Mmmh"	0.9836	0.5166
